,user_id,home_pg,search_pg,payment_pg,confirmation_pg
0,450007,1,0,0,0
1,756838,1,0,0,0
2,568983,1,1,0,0
3,190794,1,1,0,0
4,537909,1,0,0,0
5,993454,1,0,0,0
6,377150,1,1,0,0
7,137258,1,0,0,0
8,608249,1,0,0,0
9,615615,1,1,0,0
10,96069,1,0,0,0
11,664476,1,0,0,0
12,236201,1,1,0,0
13,796359,1,0,0,0
14,592962,1,1,0,0
15,971488,1,1,0,0
16,610157,1,0,0,0
17,561375,1,0,0,0
18,624556,1,0,0,0
19,443293,1,0,0,0
20,435414,1,0,0,0
21,969529,1,1,0,0
22,830503,1,0,0,0
23,184748,1,1,0,0
24,68397,1,0,0,0
25,682442,1,0,0,0
26,62655,1,1,0,0
27,159517,1,1,0,0
28,78294,1,0,0,0
29,504960,1,0,0,0
30,449259,1,1,0,0
31,976991,1,1,0,0
32,639988,1,0,0,0
33,668253,1,0,0,0
34,838832,1,1,1,0
35,126297,1,1,0,0
36,700880,1,0,0,0
37,606959,1,0,0,0
38,252135,1,1,0,0
39,886066,1,1,0,0
40,283193,1,1,0,0
41,527765,1,0,0,0
42,265629,1,0,0,0
43,469531,1,0,0,0
44,632470,1,1,0,0
45,142395,1,1,0,0
46,948203,1,1,0,0
47,601434,1,1,0,0
48,429473,1,1,0,0
49,291813,1,1,0,0
50,378948,1,1,0,0
51,220197,1,0,0,0
52,245517,1,0,0,0
53,594992,1,0,0,0
54,231324,1,1,1,0
55,107605,1,1,0,0
56,870834,1,1,0,0
57,604565,1,1,0,0
58,984873,1,0,0,0
59,623145,1,0,0,0
60,457209,1,1,0,0
61,13830,1,1,1,1
62,716584,1,0,0,0
63,434895,1,0,0,0
64,471874,1,0,0,0
65,838723,1,1,1,0
66,731725,1,0,0,0
67,25566,1,1,0,0
68,566349,1,1,0,0
69,880532,1,1,0,0
70,574808,1,1,0,0
71,418014,1,1,0,0
72,205344,1,1,1,0
73,176571,1,0,0,0
74,41600,1,1,0,0
